adm4_code,name,lat,lon
31.73.03.1007,Glodok,-6.144977469,106.8132141313
31.73.03.1008,Pinangsia,-6.1370824936,106.8158042825
31.73.04.1001,Tambora,-6.1446291571,106.8088462077
31.73.04.1002,Kali Anyar,-6.1576913468,106.7990338676
31.73.04.1003,Duri Utara,-6.1543100445,106.8049422832
31.73.04.1004,Tanah Sereal,-6.1540458548,106.8098418528
31.73.04.1005,Krendang,-6.150214536,106.8039837531
31.73.04.1006,Jembatan Besi,-6.151866783,106.7977512017
31.73.04.1007,Angke,-6.1455274143,106.7957943606
31.73.04.1008,Jembatan Lima,-6.1449051906,106.803792774
31.73.04.1009,Pekojan,-6.1373449556,106.8040287949
31.73.04.1010,Roa Malaka,-6.1363744934,106.8094693682
31.73.04.1011,Duri Selatan,-6.1590278141,106.8050131883
31.73.05.1001,Kebon Jeruk,-6.1950035844,106.7721348976
31.73.05.1002,Sukabumi Utara,-6.2088362912,106.7776347855
31.73.05.1003,Sukabumi Selatan,-6.2217451354,106.7719767006
31.73.05.1004,Kelapa Dua,-6.2093519018,106.7687257775
31.73.05.1005,Duri Kepa,-6.1760722354,106.7738516473
31.73.05.1006,Kedoya Utara,-6.1685700042,106.7609882999
31.73.05.1007,Kedoya Selatan,-6.1825339286,106.7604182871
31.73.06.1001,Kalideres,-6.1492278043,106.6987855197
31.73.06.1002,Semanan,-6.1661794741,106.7024231386
31.73.06.1003,Tegal Alur,-6.1164981683,106.7159191567
31.73.06.1004,Kamal,-6.1065609363,106.7000536148
31.73.06.1005,Pegadungan,-6.1327571885,106.7023539447
31.73.07.1001,Palmerah,-6.2010387639,106.789488962
31.73.07.1002,Slipi,-6.1939925488,106.8013765926
31.73.07.1003,Kota Bambu Utara,-6.18356523,106.8034176136
31.73.07.1004,Jatipulo,-6.1787902468,106.8038221992
31.73.07.1005,Kemanggisan,-6.1898754779,106.7913803016
31.73.07.1006,Kota Bambu Selatan,-6.1873497486,106.8033539019
31.73.08.1001,Kembangan Utara,-6.1723239844,106.7425116005
31.73.08.1002,Meruya Utara,-6.1966346419,106.7387677894
31.73.08.1003,Meruya Selatan,-6.2093171584,106.7340003404
31.73.08.1004,Srengseng,-6.2074810749,106.7552777566
31.73.08.1005,Joglo,-6.219110802,106.7390801461
31.73.08.1006,Kembangan Selatan,-6.1861580832,106.7385846909
31.74.01.1001,Tebet Timur,-6.2338194545,106.8555231021
31.74.01.1002,Tebet Barat,-6.234940786,106.8489801662
31.74.01.1003,Menteng Dalam,-6.2316238449,106.8412468498
31.74.01.1004,Kebon Baru,-6.2337098463,106.8616315453
31.74.01.1005,Bukit Duri,-6.2213042732,106.8581472389
31.74.01.1006,Manggarai Selatan,-6.2199658041,106.8485179043
31.74.01.1007,Manggarai,-6.2135265697,106.8510629108
31.74.02.1001,Setia Budi,-6.2074199951,106.825837938
31.74.02.1002,Karet Semanggi,-6.2225390315,106.8179343309
31.74.02.1003,Karet Kuningan,-6.2206036294,106.8279702459
31.74.02.1004,Karet,-6.2137996743,106.8269647258
31.74.02.1005,Menteng Atas,-6.2181698903,106.8395372262
31.74.02.1006,Pasar Manggis,-6.2104413748,106.8415825375
31.74.02.1007,Guntur,-6.2079469489,106.8332490343
31.74.02.1008,Kuningan Timur,-6.2315860752,106.8295121591
31.74.03.1001,Mampang Prapatan,-6.2427578798,106.8286371635
31.74.03.1002,Bangka,-6.2632169434,106.8183223867
